"ID","value","group","metric"
20,45,"Post-Cranial","HuHD R"
20,44.8,"Post-Cranial","HuHD L"
20,57.9,"Post-Cranial","HuE1 R"
20,57,"Post-Cranial","HuE1 L"
20,237,"Post-Cranial","RaL R"
20,233,"Post-Cranial","RaL L"
20,256,"Post-Cranial","ULL1 R"
20,252,"Post-Cranial","ULL1 L"
20,31.1,"Post-Cranial","FeD1 R"
20,31.5,"Post-Cranial","FeD1 L"
20,33.1,"Post-Cranial","FeD2 R"
20,32,"Post-Cranial","FeD2 L"
20,28.7,"Post-Cranial","FeD3 R"
20,24.9,"Post-Cranial","FeD4 R"
20,87,"Post-Cranial","FeC R"
20,80.9,"Post-Cranial","FeE R"
20,79.9,"Post-Cranial","FeE L"
20,376,"Post-Cranial","TiL1 L"
20,377,"Post-Cranial","TiL2 L"
20,32.9,"Post-Cranial","TiD1 R"
20,31.6,"Post-Cranial","TiD1 L"
20,25.7,"Post-Cranial","TiD2 R"
20,27.8,"Post-Cranial","TiD2 L"
20,73.6,"Post-Cranial","TiE L"
20,48.3,"Post-Cranial","FeHD L"
20,465,"Post-Cranial","FeL2 R"
20,470,"Post-Cranial","FeL2 L"
20,49.2,"Post-Cranial","FeHD R"
20,32.8,"Cranial","G'2 Palatal Breadth (end-end)"
31,85,"Cranial","GB Bimaxillary Breadth"
31,48.3,"Cranial","NH' Nasal Height"
31,22.3,"Cranial","NB Nasal Breadth"
31,10,"Cranial","SC Simotic Chord"
31,18.1,"Cranial","DC Bi-Dacryonic Chord"
31,27,"Cranial","DA Bi-Dacryonic Arc"
31,46.8,"Cranial","G'1 Palatal Length (st-o)"
31,52.4,"Cranial","ext-L External Length"
31,39,"Cranial","O'1 Orbital Breadth R"
31,185,"Cranial","L Maximum Length"
31,134,"Cranial","B Maximum Breadth"
31,123,"Cranial","H' Basi-Bregmatic Height"
31,98,"Cranial","LB Basi-Nasal Length"
31,115.6,"Cranial","J Bizygomatic Breadth"
31,93,"Cranial","GL Basi-Alveolar Length"
31,293,"Cranial","BQ' Transverse Biporial Arc"
31,130,"Cranial","S1 Frontal Arc"
31,125,"Cranial","S2 Parietal Arc"
31,115,"Cranial","S3 Occipital Arc"
31,113,"Cranial","S1' Frontal Chord"
31,109,"Cranial","S2' Parietal Chord"
31,96.3,"Cranial","S3' Occipital Chord"
31,520,"Cranial","U Max. Circumference"
31,109,"Cranial","Biast B Biasterionic Breadth"
31,32.1,"Cranial","FL Foraminal Length"
31,27,"Cranial","FB Foraminal Breadth"
31,94.8,"Cranial","ec-ec Bi-Orbital Breadth"
31,102.2,"Cranial","fmt-fmt Upper Facial Breadth"
31,63.8,"Cranial","G'H Upper Facial Height"
31,39.6,"Cranial","O'1 Orbital Breadth L"
31,34.8,"Cranial","O'2 Orbital Length R"
31,34.6,"Cranial","O'2 Orbital Length L"
31,126,"Cranial","PBH Porion-Bregma Height R"
31,119,"Cranial","PBH Porion-Bregma Height L"
31,101,"Mandibular","ML Maximum Length"
31,107,"Mandibular","W1 Bicondylar Width"
31,29.3,"Mandibular","H1 Symphyseal Height"
31,95,"Mandibular","GoGo Bigonial Breadth"
31,48,"Mandibular","ZZ Biforamen Breadth"
31,135,"Mandibular","M< Mandibular Angle"
31,25.6,"Mandibular","RB' Minimum Ramus B R"
31,24.2,"Mandibular","RB' Minimum Ramus B L"
31,46.5,"Mandibular","CrH Coronoid Height R"
31,46,"Mandibular","CrH Coronoid Height L"
31,107.7,"Post-Cranial","SaL"
31,113.7,"Post-Cranial","SaB"
31,45.7,"Post-Cranial","BW"
31,424,"Post-Cranial","FeL1 R"
31,424,"Post-Cranial","FeL1 L"
31,135.1,"Post-Cranial","CLL1 R"
31,132.6,"Post-Cranial","CLL1 L"
31,40,"Post-Cranial","GLL R"
31,36.5,"Post-Cranial","GLL L"
31,25.8,"Post-Cranial","GLB R"
31,26.2,"Post-Cranial","GLB L"
31,295,"Post-Cranial","HuL1 R"
31,287,"Post-Cranial","HuL1 L"
31,42.2,"Post-Cranial","HuHD R"
31,41.2,"Post-Cranial","HuHD L"
31,19.6,"Post-Cranial","HuD1 R"
31,19.4,"Post-Cranial","HuD1 L"
31,17.1,"Post-Cranial","HuD2 R"
31,16.5,"Post-Cranial","HuD2 L"
31,65,"Post-Cranial","HuC R"
31,60,"Post-Cranial","HuC L"
31,51.4,"Post-Cranial","HuE1 R"
31,50.5,"Post-Cranial","HuE1 L"
31,213,"Post-Cranial","RaL R"
31,207,"Post-Cranial","RaL L"
31,20,"Post-Cranial","RaHD R"
31,19.5,"Post-Cranial","RaHD L"
31,226,"Post-Cranial","ULL1 L"
31,27.4,"Post-Cranial","FeD1 R"
31,27.5,"Post-Cranial","FeD1 L"
31,30.8,"Post-Cranial","FeD2 R"
31,30,"Post-Cranial","FeD2 L"
31,27.1,"Post-Cranial","FeD3 R"
31,26.5,"Post-Cranial","FeD3 L"
31,24.3,"Post-Cranial","FeD4 R"
31,25,"Post-Cranial","FeD4 L"
31,81,"Post-Cranial","FeC R"
31,80,"Post-Cranial","FeC L"
31,76.3,"Post-Cranial","FeE R"
31,76,"Post-Cranial","FeE L"
31,334,"Post-Cranial","TiL1 L"
31,334,"Post-Cranial","TiL2 L"
31,28.7,"Post-Cranial","TiD1 L"
31,22.4,"Post-Cranial","TiD2 L"
31,68.4,"Post-Cranial","TiE L"
31,331,"Post-Cranial","FiL1 L"
31,76,"Post-Cranial","CaL L"
31,42.2,"Post-Cranial","FeHD L"
31,421,"Post-Cranial","FeL2 R"
31,420,"Post-Cranial","FeL2 L"
31,42,"Post-Cranial","FeHD R"
31,33.4,"Cranial","G'2 Palatal Breadth (end-end)"
35,81.2,"Cranial","GB Bimaxillary Breadth"
35,52,"Cranial","NH' Nasal Height"
35,20,"Cranial","NB Nasal Breadth"
35,8.6,"Cranial","SC Simotic Chord"
35,21.3,"Cranial","DC Bi-Dacryonic Chord"
35,35,"Cranial","DA Bi-Dacryonic Arc"
35,48,"Cranial","G'1 Palatal Length (st-o)"
35,53.3,"Cranial","ext-L External Length"
35,49,"Cranial","ext-B External Breadth (ecm-ecm)"
35,38.8,"Cranial","O'1 Orbital Breadth R"
35,185,"Cranial","L Maximum Length"
35,136,"Cranial","B Maximum Breadth"
35,127,"Cranial","H' Basi-Bregmatic Height"
35,95,"Cranial","LB Basi-Nasal Length"
35,89,"Cranial","GL Basi-Alveolar Length"
35,305,"Cranial","BQ' Transverse Biporial Arc"
35,122,"Cranial","S1 Frontal Arc"
35,125,"Cranial","S2 Parietal Arc"
35,130,"Cranial","S3 Occipital Arc"
35,112,"Cranial","S1' Frontal Chord"
35,112,"Cranial","S2' Parietal Chord"
35,100.3,"Cranial","S3' Occipital Chord"
35,525,"Cranial","U Max. Circumference"
35,106.2,"Cranial","Biast B Biasterionic Breadth"
35,34,"Cranial","FL Foraminal Length"
35,30,"Cranial","FB Foraminal Breadth"
35,93.4,"Cranial","ec-ec Bi-Orbital Breadth"
35,102,"Cranial","fmt-fmt Upper Facial Breadth"
35,120.6,"Cranial","TFH Total Facial Height"
35,72.6,"Cranial","G'H Upper Facial Height"
35,36.5,"Cranial","O'1 Orbital Breadth L"
35,34.3,"Cranial","O'2 Orbital Length R"
35,36.5,"Cranial","O'2 Orbital Length L"
35,123,"Cranial","PBH Porion-Bregma Height R"
35,120,"Cranial","PBH Porion-Bregma Height L"
35,111,"Mandibular","ML Maximum Length"
35,120,"Mandibular","W1 Bicondylar Width"
35,30.4,"Mandibular","H1 Symphyseal Height"
35,106.3,"Mandibular","GoGo Bigonial Breadth"
35,45,"Mandibular","ZZ Biforamen Breadth"
35,135,"Mandibular","M< Mandibular Angle"
35,33.6,"Mandibular","RB' Minimum Ramus B R"
35,32.5,"Mandibular","RB' Minimum Ramus B L"
35,64.4,"Mandibular","RH Ramus Height R"
35,62.8,"Mandibular","RH Ramus Height L"
35,117.7,"Post-Cranial","SaB"
35,57.4,"Post-Cranial","BW"
35,450,"Post-Cranial","FeL1 L"
35,157,"Post-Cranial","CLL1 R"
35,149,"Post-Cranial","CLL1 L"
35,42.5,"Post-Cranial","GLL R"
35,44.2,"Post-Cranial","GLL L"
35,32,"Post-Cranial","GLB R"
35,30.2,"Post-Cranial","GLB L"
35,332,"Post-Cranial","HuL1 R"
35,334,"Post-Cranial","HuL1 L"
35,47.5,"Post-Cranial","HuHD R"
35,45.5,"Post-Cranial","HuHD L"
35,25,"Post-Cranial","HuD1 R"
35,23,"Post-Cranial","HuD1 L"
35,21.2,"Post-Cranial","HuD2 R"
35,20.4,"Post-Cranial","HuD2 L"
35,74,"Post-Cranial","HuC R"
35,71,"Post-Cranial","HuC L"
35,59.6,"Post-Cranial","HuE1 R"
35,59,"Post-Cranial","HuE1 L"
35,226,"Post-Cranial","RaL R"
35,224,"Post-Cranial","RaL L"
35,21.4,"Post-Cranial","RaHD R"
35,244,"Post-Cranial","ULL1 R"
35,245,"Post-Cranial","ULL1 L"
35,50.4,"Post-Cranial","TaL L"
35,33.8,"Post-Cranial","FeD1 R"
35,33.4,"Post-Cranial","FeD1 L"
35,36,"Post-Cranial","FeD2 R"
35,36.1,"Post-Cranial","FeD2 L"
35,32.8,"Post-Cranial","FeD3 L"
35,30.8,"Post-Cranial","FeD4 L"
35,98,"Post-Cranial","FeC L"
35,37.8,"Post-Cranial","TiD1 R"
35,35,"Post-Cranial","TiD1 L"
35,27.6,"Post-Cranial","TiD2 R"
35,26.8,"Post-Cranial","TiD2 L"
35,50.4,"Post-Cranial","TaL R"
35,45,"Post-Cranial","FeHD L"
35,450,"Post-Cranial","FeL2 L"
35,45.7,"Post-Cranial","FeHD R"
35,29,"Cranial","G'2 Palatal Breadth (end-end)"
39,47.6,"Post-Cranial","BW"
39,397,"Post-Cranial","FeL1 R"
39,401,"Post-Cranial","FeL1 L"
39,133,"Post-Cranial","CLL1 R"
39,131,"Post-Cranial","CLL1 L"
39,37.8,"Post-Cranial","GLL R"
39,35.8,"Post-Cranial","GLL L"
39,24.8,"Post-Cranial","GLB R"
39,24.5,"Post-Cranial","GLB L"
39,293,"Post-Cranial","HuL1 R"
39,288,"Post-Cranial","HuL1 L"
39,40,"Post-Cranial","HuHD R"
39,39.5,"Post-Cranial","HuHD L"
39,21.8,"Post-Cranial","HuD1 R"
39,21.5,"Post-Cranial","HuD1 L"
39,16.7,"Post-Cranial","HuD2 R"
39,15.8,"Post-Cranial","HuD2 L"
39,65,"Post-Cranial","HuC R"
39,61,"Post-Cranial","HuC L"
39,56.5,"Post-Cranial","HuE1 R"
39,53.6,"Post-Cranial","HuE1 L"
39,209,"Post-Cranial","RaL R"
39,206,"Post-Cranial","RaL L"
39,19.2,"Post-Cranial","RaHD R"
39,19.6,"Post-Cranial","RaHD L"
39,223,"Post-Cranial","ULL1 R"
39,220,"Post-Cranial","ULL1 L"
39,27.1,"Post-Cranial","FeD1 R"
39,25.4,"Post-Cranial","FeD1 L"
39,29.8,"Post-Cranial","FeD2 R"
39,32.3,"Post-Cranial","FeD2 L"
39,25.6,"Post-Cranial","FeD3 R"
39,25.7,"Post-Cranial","FeD3 L"
39,23.3,"Post-Cranial","FeD4 R"
39,22.8,"Post-Cranial","FeD4 L"
39,80,"Post-Cranial","FeC R"
39,79,"Post-Cranial","FeC L"
39,69.3,"Post-Cranial","FeE R"
39,70.1,"Post-Cranial","FeE L"
39,320,"Post-Cranial","TiL1 R"
39,326,"Post-Cranial","TiL1 L"
39,319,"Post-Cranial","TiL2 R"
39,324,"Post-Cranial","TiL2 L"
39,29.3,"Post-Cranial","TiD1 R"
39,27.7,"Post-Cranial","TiD1 L"
39,22,"Post-Cranial","TiD2 R"
39,22,"Post-Cranial","TiD2 L"
39,64.6,"Post-Cranial","TiE R"
39,63.3,"Post-Cranial","TiE L"
39,313,"Post-Cranial","FiL1 R"
39,40.1,"Post-Cranial","FeHD L"
39,392,"Post-Cranial","FeL2 R"
39,394,"Post-Cranial","FeL2 L"
39,40.6,"Post-Cranial","FeHD R"
43,93.8,"Post-Cranial","SaL"
43,54,"Post-Cranial","BW"
43,444,"Post-Cranial","FeL1 R"
43,442,"Post-Cranial","FeL1 L"
43,226,"Post-Cranial","RaL L"
43,23.4,"Post-Cranial","RaHD L"
43,53.5,"Post-Cranial","TaL L"
43,33.1,"Post-Cranial","FeD1 R"
43,36.5,"Post-Cranial","FeD2 R"
43,25.8,"Post-Cranial","FeD2 L"
43,30.4,"Post-Cranial","FeD3 L"
43,29.4,"Post-Cranial","FeD4 L"
43,94,"Post-Cranial","FeC L"
43,81.8,"Post-Cranial","FeE R"
43,84.7,"Post-Cranial","FeE L"
43,361,"Post-Cranial","TiL1 R"
43,366,"Post-Cranial","TiL1 L"
43,360,"Post-Cranial","TiL2 R"
43,365,"Post-Cranial","TiL2 L"
43,33.1,"Post-Cranial","TiD1 R"
43,35.7,"Post-Cranial","TiD1 L"
43,26,"Post-Cranial","TiD2 R"
43,26.7,"Post-Cranial","TiD2 L"
43,78.4,"Post-Cranial","TiE L"
43,354,"Post-Cranial","FiL1 R"
43,85.3,"Post-Cranial","CaL R"
43,87.7,"Post-Cranial","CaL L"
43,52.6,"Post-Cranial","TaL R"
43,47.2,"Post-Cranial","FeHD L"
43,442,"Post-Cranial","FeL2 R"
43,441,"Post-Cranial","FeL2 L"
43,47.5,"Post-Cranial","FeHD R"
47,101,"Mandibular","ML Maximum Length"
47,125,"Mandibular","W1 Bicondylar Width"
47,36.8,"Mandibular","H1 Symphyseal Height"
47,96.4,"Mandibular","GoGo Bigonial Breadth"
47,42.4,"Mandibular","ZZ Biforamen Breadth"
47,133,"Mandibular","M< Mandibular Angle"
47,30,"Mandibular","RB' Minimum Ramus B R"
47,32.2,"Mandibular","RB' Minimum Ramus B L"
47,65.6,"Mandibular","CrH Coronoid Height R"
47,62.8,"Mandibular","CrH Coronoid Height L"
47,62.5,"Mandibular","RH Ramus Height R"
47,62.5,"Mandibular","RH Ramus Height L"
47,466,"Post-Cranial","FeL1 L"
47,155,"Post-Cranial","CLL1 L"
47,43.7,"Post-Cranial","GLL R"
47,42.2,"Post-Cranial","GLL L"
47,28.5,"Post-Cranial","GLB R"
47,28.7,"Post-Cranial","GLB L"
47,334,"Post-Cranial","HuL1 R"
47,328,"Post-Cranial","HuL1 L"
47,48,"Post-Cranial","HuHD R"
47,45.6,"Post-Cranial","HuHD L"
47,22,"Post-Cranial","HuD1 R"
47,20.5,"Post-Cranial","HuD1 L"
47,19.6,"Post-Cranial","HuD2 R"
47,19,"Post-Cranial","HuD2 L"
47,70,"Post-Cranial","HuC R"
47,67,"Post-Cranial","HuC L"
47,63.4,"Post-Cranial","HuE1 R"
47,249,"Post-Cranial","RaL R"
47,24.1,"Post-Cranial","RaHD R"
47,264,"Post-Cranial","ULL1 R"
47,29.3,"Post-Cranial","FeD1 R"
47,27.7,"Post-Cranial","FeD1 L"
47,34.1,"Post-Cranial","FeD2 R"
47,35.5,"Post-Cranial","FeD2 L"
47,30,"Post-Cranial","FeD3 L"
47,26,"Post-Cranial","FeD4 L"
47,89,"Post-Cranial","FeC L"
47,48,"Post-Cranial","FeHD L"
47,48,"Post-Cranial","FeHD R"
92,84,"Cranial","GB Bimaxillary Breadth"
92,45.8,"Cranial","NH' Nasal Height"
92,20.3,"Cranial","NB Nasal Breadth"
92,9.3,"Cranial","SC Simotic Chord"
92,21,"Cranial","DC Bi-Dacryonic Chord"
92,36,"Cranial","DA Bi-Dacryonic Arc"
92,43.4,"Cranial","G'1 Palatal Length (st-o)"
92,45.2,"Cranial","ext-L External Length"
92,54,"Cranial","ext-B External Breadth (ecm-ecm)"
92,33,"Cranial","O'1 Orbital Breadth R"
92,180,"Cranial","L Maximum Length"
92,125,"Cranial","B Maximum Breadth"
92,129,"Cranial","H' Basi-Bregmatic Height"
92,99,"Cranial","LB Basi-Nasal Length"
92,111.4,"Cranial","J Bizygomatic Breadth"
92,87,"Cranial","GL Basi-Alveolar Length"
92,290,"Cranial","BQ' Transverse Biporial Arc"
92,125,"Cranial","S1 Frontal Arc"
92,131,"Cranial","S2 Parietal Arc"
92,108,"Cranial","S3 Occipital Arc"
92,107.1,"Cranial","S1' Frontal Chord"
92,117.6,"Cranial","S2' Parietal Chord"
92,90,"Cranial","S3' Occipital Chord"
92,502,"Cranial","U Max. Circumference"
92,113,"Cranial","Biast B Biasterionic Breadth"
92,33.5,"Cranial","FL Foraminal Length"
92,30.4,"Cranial","FB Foraminal Breadth"
92,87.6,"Cranial","ec-ec Bi-Orbital Breadth"
92,92.9,"Cranial","fmt-fmt Upper Facial Breadth"
92,112.2,"Cranial","TFH Total Facial Height"
92,63.7,"Cranial","G'H Upper Facial Height"
92,34.6,"Cranial","O'1 Orbital Breadth L"
92,31.3,"Cranial","O'2 Orbital Length R"
92,33.2,"Cranial","O'2 Orbital Length L"
92,121,"Cranial","PBH Porion-Bregma Height R"
92,121,"Cranial","PBH Porion-Bregma Height L"
92,97,"Mandibular","ML Maximum Length"
92,25.2,"Mandibular","H1 Symphyseal Height"
92,90,"Mandibular","GoGo Bigonial Breadth"
92,46.1,"Mandibular","ZZ Biforamen Breadth"
92,118,"Mandibular","M< Mandibular Angle"
92,28,"Mandibular","RB' Minimum Ramus B R"
92,31.1,"Mandibular","RB' Minimum Ramus B L"
92,60.8,"Mandibular","CrH Coronoid Height R"
92,58.1,"Mandibular","RH Ramus Height L"
92,400,"Post-Cranial","FeL1 R"
92,403,"Post-Cranial","FeL1 L"
92,188,"Post-Cranial","RaL L"
92,50.3,"Post-Cranial","TaL L"
92,24.6,"Post-Cranial","FeD1 R"
92,25.7,"Post-Cranial","FeD1 L"
92,28.6,"Post-Cranial","FeD2 R"
92,28.7,"Post-Cranial","FeD2 L"
92,23.3,"Post-Cranial","FeD3 R"
92,24.7,"Post-Cranial","FeD3 L"
92,20.6,"Post-Cranial","FeD4 R"
92,23.1,"Post-Cranial","FeD4 L"
92,74,"Post-Cranial","FeC R"
92,74,"Post-Cranial","FeC L"
92,72.3,"Post-Cranial","FeE R"
92,72.6,"Post-Cranial","FeE L"
92,316,"Post-Cranial","TiL1 R"
92,315,"Post-Cranial","TiL1 L"
92,315,"Post-Cranial","TiL2 R"
92,314,"Post-Cranial","TiL2 L"
92,24.9,"Post-Cranial","TiD1 R"
92,25.1,"Post-Cranial","TiD1 L"
92,23.4,"Post-Cranial","TiD2 R"
92,20.7,"Post-Cranial","TiD2 L"
92,67,"Post-Cranial","TiE R"
92,69,"Post-Cranial","TiE L"
92,70,"Post-Cranial","CaL R"
92,69.7,"Post-Cranial","CaL L"
92,50.2,"Post-Cranial","TaL R"
92,43.8,"Post-Cranial","FeHD L"
92,398,"Post-Cranial","FeL2 R"
92,400,"Post-Cranial","FeL2 L"
92,42.5,"Post-Cranial","FeHD R"
92,31.5,"Cranial","G'2 Palatal Breadth (end-end)"
96,436,"Post-Cranial","FeL1 R"
96,224,"Post-Cranial","ULL1 R"
96,25.4,"Post-Cranial","FeD1 R"
96,34,"Post-Cranial","FeD2 R"
96,25.8,"Post-Cranial","FeD3 R"
96,27.3,"Post-Cranial","FeD4 R"
96,82,"Post-Cranial","FeC R"
96,81,"Post-Cranial","FeE R"
96,432,"Post-Cranial","FeL2 R"
96,43.5,"Post-Cranial","FeHD R"
100,26.6,"Mandibular","RB' Minimum Ramus B R"
100,68.3,"Mandibular","CrH Coronoid Height R"
100,60.5,"Mandibular","RH Ramus Height R"
100,445,"Post-Cranial","FeL1 R"
100,161,"Post-Cranial","CLL1 R"
100,44,"Post-Cranial","GLL R"
100,30.6,"Post-Cranial","GLB R"
100,56.2,"Post-Cranial","HuE1 R"
100,56.7,"Post-Cranial","HuE1 L"
100,54.3,"Post-Cranial","TaL L"
100,29.3,"Post-Cranial","FeD1 R"
100,28.7,"Post-Cranial","FeD1 L"
100,35,"Post-Cranial","FeD2 R"
100,36.2,"Post-Cranial","FeD2 L"
100,28.8,"Post-Cranial","FeD3 R"
100,30,"Post-Cranial","FeD4 R"
100,90,"Post-Cranial","FeC R"
100,80.3,"Post-Cranial","FeE R"
100,366,"Post-Cranial","TiL1 R"
